Start Time,End Time,Dialogue,Speaker,TextBlob_Score,VADER_Score,Google_Score
1900-01-01 00:04:20.193,"00:04:21,962",I LEFT ANDREW. ,Laura,0.0,0.0,-0.30000001192092896
1900-01-01 00:04:22.062,"00:04:25,132",WE HAD A BIG BLOWOUT-- ,Laura,0.0,0.0,-0.20000000298023224
1900-01-01 00:04:25.232,"00:04:27,435","SCREAMING, CRYING-- THE WORKS. ",Laura,-0.2,-0.6908,0.30000001192092896
1900-01-01 00:04:28.569,"00:04:31,104","AND AT SOME POINT I, UH-- I CALLED ALONA ",Laura,0.0,0.0,0.0
1900-01-01 00:04:31.204,"00:04:34,408",AND WE WENT OUT FOR A DRINK. ,Laura,0.0,0.0,-0.30000001192092896
1900-01-01 00:04:34.508,"00:04:37,244",WE HAD A FEW DRINKS. ,Laura,-0.2,0.0,-0.30000001192092896
1900-01-01 00:04:37.345,"00:04:40,269","LISTEN, I'M NOT HERE. I'M-- ",Laura,0.0,0.0,-0.4000000059604645
1900-01-01 00:04:40.381,"00:04:42,249",I'M SO TOTALLY NOT HERE. ,Laura,0.0,0.0,-0.800000011920929
1900-01-01 00:04:42.350,"00:04:46,354","YOU ARE VERY MUCH HERE, LAURA. ",Paul,0.26,0.0,0.5
1900-01-01 00:04:48.456,"00:04:50,824","NO, IT'S NOT ME THAT'S HERE. ",Laura,0.0,0.0,-0.800000011920929
1900-01-01 00:04:52.526,"00:04:54,362","BELIEVE ME, YOU'D BE SHOCKED ",Laura,-0.7,-0.3182,-0.10000000149011612
1900-01-01 00:04:54.462,"00:04:56,196",TO KNOW THE PERSON THAT'S SITTING HERE. ,Laura,0.0,0.0,-0.20000000298023224
1900-01-01 00:04:56.296,"00:04:58,499",I DID SOME-- ,Laura,0.0,0.0,0.0
1900-01-01 00:04:58.599,"00:05:01,602",I DID SOME TERRIBLE THINGS LAST NIGHT. ,Laura,-0.5,-0.4767,-0.699999988079071
1900-01-01 00:05:05.005,"00:05:06,974",OH... ,Laura,0.0,0.0,0.10000000149011612
1900-01-01 00:05:10.378,"00:05:12,746",I FEEL SICK. ,Laura,-0.7142857142857143,-0.5106,0.0
1900-01-01 00:05:13.781,"00:05:15,816",BUT I DON'T WANNA THROW UP. ,Laura,0.0,0.0,0.0
1900-01-01 00:05:15.916,"00:05:17,918","IT DOESN'T MATTER, IT'S NO BIG DEAL. ",Paul,0.0,0.2057,-0.4000000059604645
1900-01-01 00:05:18.018,"00:05:19,753",WHAT DO YOU MEAN? IT'S VOMIT. ,Laura,-0.3125,0.0,-0.10000000149011612
1900-01-01 00:05:19.853,"00:05:22,089",I'M NOT GONNA VOMIT ALL OVER YOUR RUG. ,Laura,0.0,0.0,-0.800000011920929
1900-01-01 00:05:22.189,"00:05:23,924","IT'S A CHEAP RUG, LAURA. ",Paul,0.4,0.0,-0.5
